movieId,prefix,title,alt,title year,alt year,title duplicate,alt duplicate
1243,-,rosencrantz and guildenstern are dead,-,rosencrantz and guildenstern are dead (1990),-,-,-
1244,-,manhattan,-,manhattan (1979),-,-,-
1245,-,miller's crossing,-,miller's crossing (1990),-,-,-
1246,-,dead poets society,-,dead poets society (1989),-,-,-
1247,the,graduate,-,graduate(1967),-,-,-
1248,-,touch of evil,-,touch of evil (1958),-,-,-
1249,-,"femme nikita, la",nikita,"femme nikita, la (1990)",nikita (1990),-,-
1250,the,bridge on the river kwai,-,bridge on the river kwai(1957),-,-,-
1251,-,8 1/2,8½,8 1/2 (1963),8½ (1963),-,-
1252,-,chinatown,-,chinatown (1974),-,-,-
1253,the,day the earth stood still,-,day the earth stood still(1951),-,-,-
1254,the,treasure of the sierra madre,-,treasure of the sierra madre(1948),-,-,-
1256,-,duck soup,-,duck soup (1933),-,-,-
1257,-,better off dead...,-,better off dead... (1985),-,-,-
1258,the,shining,-,shining(1980),-,-,-
1259,-,stand by me,-,stand by me (1986),-,-,-
1260,-,m,-,m (1931),-,-,-
1262,the,great escape,-,great escape(1963),-,-,-
1263,the,deer hunter,-,deer hunter(1978),-,-,-
1264,-,diva,-,diva (1981),-,-,-
1265,-,groundhog day,-,groundhog day (1993),-,-,-
1266,-,unforgiven,-,unforgiven (1992),-,unforgiven,-
1267,the,manchurian candidate,-,manchurian candidate(1962),-,-,-
1269,-,arsenic and old lace,-,arsenic and old lace (1944),-,-,-
1270,-,back to the future,-,back to the future (1985),-,-,-
1272,-,patton,-,patton (1970),-,-,-
1273,-,down by law,-,down by law (1986),-,-,-
1274,-,akira,-,akira (1988),-,-,-
1276,-,cool hand luke,-,cool hand luke (1967),-,-,-
1278,-,young frankenstein,-,young frankenstein (1974),-,-,-
1279,-,night on earth,-,night on earth (1991),-,-,-
1280,-,raise the red lantern,da hong deng long gao gao gua,raise the red lantern (1991),da hong deng long gao gao gua (1991),-,-
1281,the,great dictator,-,great dictator(1940),-,-,-
1283,-,high noon,-,high noon (1952),-,-,-
1284,the,big sleep,-,big sleep(1946),-,-,-
1288,-,this is spinal tap,-,this is spinal tap (1984),-,-,-
1289,-,koyaanisqatsi,koyaanisqatsi: life out of balance,koyaanisqatsi (1983),koyaanisqatsi: life out of balance (1983),-,-
1291,-,indiana jones and the last crusade,-,indiana jones and the last crusade (1989),-,-,-
1292,-,being there,-,being there (1979),-,-,-
1293,-,gandhi,-,gandhi (1982),-,-,-
1296,a,room with a view,-,room with a view(1986),-,-,-
1299,the,killing fields,-,killing fields(1984),-,-,-
1300,-,my life as a dog,mitt liv som hund,my life as a dog (1985),mitt liv som hund (1985),-,-
1301,-,forbidden planet,-,forbidden planet (1956),-,-,-
1303,the,man who would be king,-,man who would be king(1975),-,-,-
1304,-,butch cassidy and the sundance kid,-,butch cassidy and the sundance kid (1969),-,-,-
1305,-,"paris, texas",-,"paris, texas (1984)",-,-,-
1307,-,when harry met sally...,-,when harry met sally... (1989),-,-,-
1348,-,nosferatu,"nosferatu, eine symphonie des grauens",nosferatu (1922),"nosferatu, eine symphonie des grauens (1922)",-,-
1354,-,breaking the waves,-,breaking the waves (1996),-,-,-
1357,-,shine,-,shine (1996),-,-,-
1358,-,sling blade,-,sling blade (1996),-,-,-
1361,-,paradise lost: the child murders at robin hood hills,-,paradise lost: the child murders at robin hood hills (1996),-,-,-
1365,-,ridicule,-,ridicule (1996),-,-,-
1394,-,raising arizona,-,raising arizona (1987),-,-,-
1419,-,walkabout,-,walkabout (1971),-,-,-
1423,-,hearts and minds,-,hearts and minds (1996),-,hearts and minds,-
1446,-,kolya,kolja,kolya (1996),kolja (1996),-,-
1449,-,waiting for guffman,-,waiting for guffman (1996),-,-,-
1466,-,donnie brasco,-,donnie brasco (1997),-,-,-
1537,-,shall we dance?,shall we dansu?,shall we dance? (1996),shall we dansu? (1996),-,-
1545,-,ponette,-,ponette (1996),-,-,-
1610,the,hunt for red october,-,hunt for red october(1990),-,-,-
1617,-,l.a. confidential,-,l.a. confidential (1997),-,-,-
1625,the,game,-,game(1997),-,-,-
1643,-,mrs. brown,"her majesty, mrs. brown",mrs. brown (1997),"her majesty, mrs. brown (1997)",-,-
1649,-,"fast, cheap & out of control",-,"fast, cheap & out of control (1997)",-,-,-
1653,-,gattaca,-,gattaca (1997),-,-,-
1674,-,witness,-,witness (1985),-,-,-
1682,the,truman show,-,truman show(1998),-,-,-
1704,-,good will hunting,-,good will hunting (1997),-,-,-
1719,the,sweet hereafter,-,sweet hereafter(1997),-,-,-
1732,the,big lebowski,-,big lebowski(1998),-,-,-
1734,-,my life in pink,ma vie en rose,my life in pink (1997),ma vie en rose (1997),-,-
1757,-,fallen angels,duo luo tian shi,fallen angels (1995),duo luo tian shi (1995),-,-
1797,-,everest,-,everest (1998),-,-,-
1809,-,fireworks,hana-bi,fireworks (1997),hana-bi (1997),-,-
1834,the,spanish prisoner,-,spanish prisoner(1997),-,-,-
1844,-,live flesh,carne trémula,live flesh (1997),carne trémula (1997),-,-
1860,-,character,karakter,character (1997),karakter (1997),-,-
1900,the,children of heaven,bacheha-ye aseman,children of heaven(1997),bacheha-ye aseman (1997),-,-
1914,-,smoke signals,-,smoke signals (1998),-,-,-
1927,-,all quiet on the western front,-,all quiet on the western front (1930),-,-,-
1931,-,mutiny on the bounty,-,mutiny on the bounty (1935),-,-,-
1934,-,you can't take it with you,-,you can't take it with you (1938),-,-,-
1935,-,how green was my valley,-,how green was my valley (1941),-,-,-
1938,the,lost weekend,-,lost weekend(1945),-,-,-
1939,the,best years of our lives,-,best years of our lives(1946),-,-,-
1942,-,all the king's men,-,all the king's men (1949),-,-,-
1944,-,from here to eternity,-,from here to eternity (1953),-,-,-
1945,-,on the waterfront,-,on the waterfront (1954),-,-,-
1946,-,marty,-,marty (1955),-,-,-
1949,a,man for all seasons,-,man for all seasons(1966),-,-,-
1950,-,in the heat of the night,-,in the heat of the night (1967),-,-,-
1952,-,midnight cowboy,-,midnight cowboy (1969),-,-,-
1953,the,french connection,-,french connection(1971),-,-,-
1956,-,ordinary people,-,ordinary people (1980),-,-,-
1960,the,last emperor,-,last emperor(1987),-,-,-
1961,-,rain man,-,rain man (1988),-,-,-
1963,-,take the money and run,-,take the money and run (1969),-,-,-
1968,the,breakfast club,-,breakfast club(1985),-,-,-
2010,-,metropolis,-,metropolis (1927),-,-,-
2019,-,seven samurai,shichinin no samurai,seven samurai (1954),shichinin no samurai (1954),-,-
2020,-,dangerous liaisons,-,dangerous liaisons (1988),-,-,-
2028,-,saving private ryan,-,saving private ryan (1998),-,-,-
2064,-,roger & me,-,roger & me (1989),-,-,-
2066,-,out of the past,-,out of the past (1947),-,-,-
2067,-,doctor zhivago,-,doctor zhivago (1965),-,-,-
2068,-,fanny and alexander,fanny och alexander,fanny and alexander (1982),fanny och alexander (1982),-,-
2069,the,trip to bountiful,-,trip to bountiful(1985),-,-,-
2070,-,tender mercies,-,tender mercies (1983),-,-,-
2076,-,blue velvet,-,blue velvet (1986),-,-,-
2130,-,atlantic city,-,atlantic city (1980),-,-,-
2131,-,autumn sonata,höstsonaten,autumn sonata (1978),höstsonaten (1978),-,-
2132,-,who's afraid of virginia woolf?,-,who's afraid of virginia woolf? (1966),-,-,-
2176,-,rope,-,rope (1948),-,-,-
2183,the,man who knew too much,-,man who knew too much(1956),-,-,-
2186,-,strangers on a train,-,strangers on a train (1951),-,-,-
2194,the,untouchables,-,untouchables(1987),-,-,-
2202,-,lifeboat,-,lifeboat (1944),-,-,-
2203,-,shadow of a doubt,-,shadow of a doubt (1943),-,-,-
2206,-,suspicion,-,suspicion (1941),-,-,-
2208,the,lady vanishes,-,lady vanishes(1938),-,-,-
2238,-,seven beauties,pasqualino settebellezze,seven beauties (1976),pasqualino settebellezze (1976),-,-
2248,-,say anything...,-,say anything... (1989),-,-,-
2268,a,few good men,-,few good men(1992),-,-,-
2288,the,thing,-,thing(1982),-,-,-
2289,the,player,-,player(1992),-,-,-
2300,the,producers,-,producers(1968),-,-,-
2303,-,nashville,-,nashville (1975),-,-,-
2313,the,elephant man,-,elephant man(1980),-,-,-
2318,-,happiness,-,happiness (1998),-,-,-
2324,-,life is beautiful,la vita è bella,life is beautiful (1997),la vita è bella (1997),-,-
2329,-,american history x,-,american history x (1998),-,-,-
2330,-,hands on a hard body,-,hands on a hard body (1996),-,-,-
2333,-,gods and monsters,-,gods and monsters (1998),-,-,-
2336,-,elizabeth,-,elizabeth (1998),-,-,-
2351,-,nights of cabiria,"notti di cabiria, le",nights of cabiria (1957),"notti di cabiria, le (1957)",-,-
2357,-,central station,central do brasil,central station (1998),central do brasil (1998),-,-
2360,the,celebration,festen,celebration(1998),festen (1998),-,-
2395,-,rushmore,-,rushmore (1998),-,-,-
2467,the,name of the rose,"name der rose, der",name of the rose(1986),"name der rose, der (1986)",-,-
2501,-,october sky,-,october sky (1999),-,-,-
2502,-,office space,-,office space (1999),-,-,-
2511,the,long goodbye,-,long goodbye(1973),-,-,-
2542,-,"lock, stock & two smoking barrels",-,"lock, stock & two smoking barrels (1998)",-,-,-
2571,the,matrix,-,matrix(1999),-,-,-
2575,the,dreamlife of angels,"vie rêvée des anges, la",dreamlife of angels(1998),"vie rêvée des anges, la (1998)",-,-
2585,the,lovers of the arctic circle,los amantes del círculo polar,lovers of the arctic circle(1998),los amantes del círculo polar (1998),-,-
2594,-,open your eyes,abre los ojos,open your eyes (1997),abre los ojos (1997),-,-
2609,the,king of masks,bian lian,king of masks(1996),bian lian (1996),-,-
2610,-,three seasons,-,three seasons (1999),-,-,-
2611,the,winslow boy,-,winslow boy(1999),-,-,-
2612,-,mildred pierce,-,mildred pierce (1945),-,-,-
2618,the,castle,-,castle(1997),-,-,-
2624,-,after life,wandafuru raifu,after life (1998),wandafuru raifu (1998),-,-
2670,-,run silent run deep,-,run silent run deep (1958),-,-,-
2677,-,buena vista social club,-,buena vista social club (1999),-,-,-
2686,the,red violin,"violon rouge, le",red violin(1998),"violon rouge, le (1998)",-,-
2692,-,run lola run,lola rennt,run lola run (1998),lola rennt (1998),-,-
2696,the,dinner game,"dîner de cons, le",dinner game(1998),"dîner de cons, le (1998)",-,-
2726,the,killing,-,killing(1956),-,-,-
2728,-,spartacus,-,spartacus (1960),-,-,-
2730,-,barry lyndon,-,barry lyndon (1975),-,-,-
2731,the,400 blows,les quatre cents coups,400 blows(1959),les quatre cents coups (1959),-,-
2732,-,jules and jim,jules et jim,jules and jim (1961),jules et jim (1961),-,-
2761,the,iron giant,-,iron giant(1999),-,-,-
2762,the,sixth sense,-,sixth sense(1999),-,-,-
2788,-,monty python's and now for something completely different,-,monty python's and now for something completely different (1971),-,-,-
2804,a,christmas story,-,christmas story(1983),-,-,-
2810,-,perfect blue,-,perfect blue (1997),-,-,-
2819,-,three days of the condor,3 days of the condor,three days of the condor (1975),3 days of the condor (1975),-,-
2843,-,"black cat, white cat","crna macka, beli macor","black cat, white cat (1998)","crna macka, beli macor (1998)",-,-
2858,-,american beauty,-,american beauty (1999),-,-,-
2859,-,stop making sense,-,stop making sense (1984),-,-,-
2863,a,hard day's night,-,hard day's night(1964),-,-,-
2905,-,sanjuro,tsubaki sanjûrô,sanjuro (1962),tsubaki sanjûrô (1962),-,-
2917,-,body heat,-,body heat (1981),-,-,-
2918,-,ferris bueller's day off,-,ferris bueller's day off (1986),-,-,-
2919,the,year of living dangerously,-,year of living dangerously(1982),-,-,-
2920,-,children of paradise,les enfants du paradis,children of paradise (1945),les enfants du paradis (1945),-,-
2921,-,high plains drifter,-,high plains drifter (1973),-,-,-
2924,-,drunken master,jui kuen,drunken master (1978),jui kuen (1978),-,-
2925,the,conformist,"conformista, il",conformist(1970),"conformista, il (1970)",-,-
2927,-,brief encounter,-,brief encounter (1946),-,-,-
2931,-,time of the gypsies,dom za vesanje,time of the gypsies (1989),dom za vesanje (1989),-,-
2932,-,days of heaven,-,days of heaven (1978),-,-,-
2935,the,lady eve,-,lady eve(1941),-,-,-
2936,-,sullivan's travels,-,sullivan's travels (1941),-,-,-
2937,the,palm beach story,-,palm beach story(1942),-,-,-
2938,-,man facing southeast,-,man facing southeast (1986),-,-,-
2940,-,gilda,-,gilda (1946),-,-,-
2944,the,dirty dozen,-,dirty dozen(1967),-,-,-
2951,a,fistful of dollars,per un pugno di dollari,fistful of dollars(1964),per un pugno di dollari (1964),-,-
2959,-,fight club,-,fight club (1999),-,-,-
2966,the,straight story,-,straight story(1999),-,-,-
2969,a,man and a woman,un homme et une femme,man and a woman(1966),un homme et une femme (1966),-,-
2970,-,fitzcarraldo,-,fitzcarraldo (1982),-,-,-
2972,-,red sorghum,hong gao liang,red sorghum (1987),hong gao liang (1987),-,-
2973,-,crimes and misdemeanors,-,crimes and misdemeanors (1989),-,-,-
2997,-,being john malkovich,-,being john malkovich (1999),-,-,-
3000,-,princess mononoke,mononoke-hime,princess mononoke (1997),mononoke-hime (1997),-,-
3002,-,my best fiend,mein liebster feind,my best fiend (1999),mein liebster feind (1999),-,-
3006,the,insider,-,insider(1999),-,-,-
3007,-,american movie,-,american movie (1999),-,-,-
3019,-,drugstore cowboy,-,drugstore cowboy (1989),-,-,-
3022,the,general,-,general(1926),-,-,-
3030,-,yojimbo,-,yojimbo (1961),-,-,-
3035,-,mister roberts,-,mister roberts (1955),-,-,-
3037,-,little big man,-,little big man (1970),-,-,-
3038,a,face in the crowd,-,face in the crowd(1957),-,-,-
3062,the,longest day,-,longest day(1962),-,-,-
3067,-,women on the verge of a nervous breakdown,mujeres al borde de un ataque de nervios,women on the verge of a nervous breakdown (1988),mujeres al borde de un ataque de nervios (1988),-,-
3068,the,verdict,-,verdict(1982),-,-,-
3075,-,repulsion,-,repulsion (1965),-,-,-
3077,-,42 up,-,42 up (1998),-,-,-
3083,-,all about my mother,todo sobre mi madre,all about my mother (1999),todo sobre mi madre (1999),-,-
3088,-,harvey,-,harvey (1950),-,-,-
3089,-,bicycle thieves,the bicycle thief,bicycle thieves (1948),the bicycle thief (1948),-,-
3090,-,matewan,-,matewan (1987),-,-,-
3091,-,kagemusha,-,kagemusha (1980),-,-,-
3093,-,mccabe & mrs. miller,-,mccabe & mrs. miller (1971),-,-,-
3095,the,grapes of wrath,-,grapes of wrath(1940),-,-,-
3096,-,my man godfrey,-,my man godfrey (1957),-,my man godfrey,-
3097,the,shop around the corner,-,shop around the corner(1940),-,-,-
3114,-,toy story 2,-,toy story 2 (1999),-,-,-
